Transcription Factor Family	Gene Symbol	Gene Name	Also Known As	Source Material for Membership
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	cwo	clockwork orange		(Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	cyc	cycle	dbmal1, dCYC, Bmal1	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	da	daughterless		(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	dimm	dimmed	Mistr, c929	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	dpn	deadpan	44C	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	dysf	dysfusion	dys, cranky, dNXFL	(Shaman et al., 2014, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	E(spl)m3-HLH	Enhancer of split m3, helix-loop-helix	m3, E(spl)m3, HLHm3, E(spl)C m3, E(spl) region transcript m3	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	E(spl)m5-HLH	Enhancer of split m5, helix-loop-helix	m5, E(spl)m5, HLHm5, HLH-m5, E(spl) region transcript m5	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	E(spl)m7-HLH	Enhancer of split m7, helix-loop-helix	m7, E(spl)m7, HLHm7, E(spl) region transcript m7, HLH-m7	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	E(spl)m8-HLH	Enhancer of split m8, helix-loop-helix	m8, E(spl)m8, E(spl), Enhancer of split, E(spl)-m8	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	E(spl)mβ-HLH	Enhancer of split mβ, helix-loop-helix	E(spl)mβ, mβ, HLHmβ, HLHmbeta, E(spl)-mβ	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	E(spl)mδ-HLH	Enhancer of split mδ, helix-loop-helix	mδ, E(spl)mδ, HLHmdelta, HLHmδ, E(spl)mdelta	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	E(spl)mγ-HLH	Enhancer of split mγ, helix-loop-helix	mγ, E(spl)mγ, HLHmγ, HLHmgamma, E(spl) region transcript mγ	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	emc	extra macrochaetae	l(3)05592, ms(3)61CD, Ach, extramacrochaete, gov	(Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	Fer1	48 related 1		(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	Fer2	48 related 2		(Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	Fer3	48 related 3	nephew of atonal 3	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	gce	germ cell-expressed bHLH-PAS	Germ cell-expressed, germ-cell expressed	(Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	h	hairy	l(3)08247	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	Hand	Hand	dHand, hand-C	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	Hesr	HES-related	Her	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	Hey	Hairy/E(spl)-related with YRPW motif	Hesr-1	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	HLH3B	Helix loop helix protein 3B	EG:155E2.2	(Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	HLH4C	Helix loop helix protein 4C		(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	HLH54F	HLH54F	bHLH54F	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	kn	knot	col, collier, knotted, collier/knot	(Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	l(1)sc	lethal of scute	l'sc, T3, AS-C T3, lsc, EG:198A6.2	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	Max	Max	dMax	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	Met	Methoprene-tolerant	Rst(1)JH, DmMet, Resistance to Juvenile Hormone	(Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	Mitf	Mitf	TFEB, dMitf	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	Mnt	Mnt	dMnt, dMad, Mad, EG:114E2.2, Mad-3E	(Pfreundt et al., 2010, Simionato et al., 2007)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	Mondo	Mondo	Mio, Mlx interactor, ChREBP	(Shaman et al., 2014, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	Myc	Myc	dMyc, dm, diminutive, d-myc, c-Myc	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	nau	nautilus	MyoD, Dmyd	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	net	net		(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	Oli	Olig family	Doli	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	sage	salivary gland-expressed bHLH		(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	sc	scute	sis-b, sisB, T4, Hw, EG:198A6.1	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	Sidpn	similar to Deadpan	Side	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	sim	single-minded	S8, l(3)S8, shm	(Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	sima	similar	HIF-1α, HIF-1, l(3)j11B7, HIF1A, HIFα	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	SREBP	Sterol regulatory element binding protein	dSREBP, HLH106, SREBF1, l(3)76BDw, Helix loop helix protein 106	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	ss	spineless	aristapedia	(Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	tai	taiman	l(2)01351, l(2)k05809, DAIB1, l(2)k05802	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	tap	target of Poxn	biparous, bps	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	tgo	tango	dARNT, ARNT, jaywalker, HIF-1	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	trh	trachealess	l(3)10512	(Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	twi	twist		(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	tx	taxi	dei, delilah, del	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	Usf	Usf	dUSF	(Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC LEUCINE ZIPPER TRANSCRIPTION FACTORS	Atf-2	Activating transcription factor-2	ATF2, dATF-2, dATF2	(Shaman et al., 2014, Fassler et al., 2002)
BASIC LEUCINE ZIPPER TRANSCRIPTION FACTORS	Atf3	Activating transcription factor 3	A3-3, EG:33C11.1, dATF3	(Pfreundt et al., 2010, Fassler et al., 2002)
BASIC LEUCINE ZIPPER TRANSCRIPTION FACTORS	Atf6	Atf6		(Shaman et al., 2014, Pfreundt et al., 2010, Fassler et al., 2002)
BASIC LEUCINE ZIPPER TRANSCRIPTION FACTORS	CG7786			(Pfreundt et al., 2010, Fassler et al., 2002)
BASIC LEUCINE ZIPPER TRANSCRIPTION FACTORS	cnc	cap-n-collar	Nrf2, CncC, Cap 'n' collar, cap and collar, l(3)03921	(Pfreundt et al., 2010, Fassler et al., 2002)
BASIC LEUCINE ZIPPER TRANSCRIPTION FACTORS	crc	cryptocephal	ATF4, l(2)crc, dATF4, ATF-4	(Pfreundt et al., 2010, Fassler et al., 2002)
BASIC LEUCINE ZIPPER TRANSCRIPTION FACTORS	CrebA	Cyclic-AMP response element binding protein A	dCREB-A, CREB, dCREBA, BBF-2, Creb-A	(Shaman et al., 2014, Pfreundt et al., 2010, Fassler et al., 2002)
BASIC LEUCINE ZIPPER TRANSCRIPTION FACTORS	CrebB	Cyclic-AMP response element binding protein B	dCREB2, CREB, CrebB-17A, dCREB2-b, dCREB2-a	(Pfreundt et al., 2010, Fassler et al., 2002)
BASIC LEUCINE ZIPPER TRANSCRIPTION FACTORS	gt	giant	EG:BACH7M4.5	(Shaman et al., 2014, Pfreundt et al., 2010, Fassler et al., 2002)
BASIC LEUCINE ZIPPER TRANSCRIPTION FACTORS	Irbp18	Inverted repeat binding protein 18 kDa		(Shaman et al., 2014, Pfreundt et al., 2010, Fassler et al., 2002)
BASIC LEUCINE ZIPPER TRANSCRIPTION FACTORS	Jra	Jun-related antigen	jun, Djun, D-Jun, AP-1, c-Jun	(Shaman et al., 2014, Pfreundt et al., 2010, Fassler et al., 2002)
BASIC LEUCINE ZIPPER TRANSCRIPTION FACTORS	kay	kayak	Fos, Dfos, AP-1, D-Fos, AP1	(Shaman et al., 2014, Pfreundt et al., 2010, Fassler et al., 2002)
BASIC LEUCINE ZIPPER TRANSCRIPTION FACTORS	maf-S	maf-S	maf2	(Pfreundt et al., 2010, Fassler et al., 2002)
BASIC LEUCINE ZIPPER TRANSCRIPTION FACTORS	Pdp1	PAR-domain protein 1	Pdp1ε, pdp, Par domain protein 1ε, Pdp-1, Pdp1&e;gr	(Pfreundt et al., 2010, Fassler et al., 2002)
BASIC LEUCINE ZIPPER TRANSCRIPTION FACTORS	REPTOR	Repressed by TOR		(Fassler et al., 2002)
BASIC LEUCINE ZIPPER TRANSCRIPTION FACTORS	REPTOR-BP	REPTOR-binding partner		(Pfreundt et al., 2010, Fassler et al., 2002)
BASIC LEUCINE ZIPPER TRANSCRIPTION FACTORS	sisA	sisterless A	sis-a, sis a	(Pfreundt et al., 2010)
BASIC LEUCINE ZIPPER TRANSCRIPTION FACTORS	slbo	slow border cells	C/EBP, DmC/EBP, slobo	(Shaman et al., 2014, Pfreundt et al., 2010, Fassler et al., 2002)
BASIC LEUCINE ZIPPER TRANSCRIPTION FACTORS	tj	traffic jam	maf1	(Pfreundt et al., 2010, Fassler et al., 2002)
BASIC LEUCINE ZIPPER TRANSCRIPTION FACTORS	vri	vrille	jf23	(Shaman et al., 2014, Pfreundt et al., 2010, Fassler et al., 2002)
BASIC LEUCINE ZIPPER TRANSCRIPTION FACTORS	Xbp1	X box binding protein-1	xbp-1, l(2)k13803	(Pfreundt et al., 2010, Fassler et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	ab	abrupt	clu, clueless	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Aef1	Adult enhancer factor 1	AEF-1	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Asciz	ASCIZ zinc finger protein	dASCIZ	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	ATbp	(A+T)-stretch binding protein		(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	az2	az2		(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Blimp-1	Blimp-1	dBlimp-1, dBlimp1	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	bowl	brother of odd with entrails limited	bowel, Su(tor)2-1	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	br	broad	BR-C, Broad Complex, ecs, rbp, npr1	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Br140	Bromodomain-containing protein, 140kD		(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	btd	buttonhead		(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	BuGZ	Bub3 interacting GLEBS and Zinc finger domain protein	lincRNA.S1359, Dm_2L:87597	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	cas	castor	ming, l(3)neo33	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	cbt	cabut	EP2237, dTIEG	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Cf2	Chorion factor 2		(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	cg	combgap	mig, l(2)07659	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG1024			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG1233			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG1529			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG1602			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG1603			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG1647			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG1663			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG1792			(Zolotarev et al., 2016, Krystel and Ayyanathan, 2013, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG2116			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG2120			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG2129			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG2199			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG2202			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG2678			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG2712		EG:95B7.7, anon-3Be	(Zolotarev et al., 2016, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG2889			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG3032			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG3065			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG3281		87A7-9/1, anon-87Aa	(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG3407			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG3847			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG3995			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG4282			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG4318			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG4360			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG4374			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG4424			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG4496			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG4707			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG4730			(Zolotarev et al., 2016, Krystel and Ayyanathan, 2013, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG4820			(Zolotarev et al., 2016, Krystel and Ayyanathan, 2013, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG4854			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG4936			(Zolotarev et al., 2016, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG5245			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG6254			(Zolotarev et al., 2016, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG6654			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG6689			(Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG6765			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG6791			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG6813			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG7101			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG7271			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG7368			(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG7386			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG7691			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG7963			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG7987			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG8089			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG8159			(Zolotarev et al., 2016, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG8301			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG8319			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG8388			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG8478			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG8944			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG9215			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG9609			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG9650			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG9890			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG9932			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG10147			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG10274			(Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG10321			(Zolotarev et al., 2016, Krystel and Ayyanathan, 2013, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG10348		lincRNA.186	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG10366			(Zolotarev et al., 2016, Krystel and Ayyanathan, 2013, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG10431			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG10462			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG10543			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG10631			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG10654			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG10669			(Zolotarev et al., 2016, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG10959			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG10979			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG11247			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG11398		EG:BACR42I17.11	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG11456			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG11560			(Pfreundt et al., 2010)
